Chromosome	Genomic Position Start	Genomic Position End	MIM Number	Gene/Locus And Other Related Symbols	Gene Name	Approved Gene Symbol	Entrez Gene ID	Ensembl Gene ID	Phenotypes	moi
chr1	1	2300000	618815	C1DUPp36.33, DUP1p36.33	Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster		NA		Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster, 618815 (4), Autosomal dominant	AD
chr1	1	27600000	155600	CMM, MLM, DNS	Cutaneous malignant melanoma/dysplastic nevus		1243		{Melanoma, cutaneous malignant, 1}, 155600 (2), Autosomal dominant	AD
chr1	1	20100000	115665	CTRCT8, CCV	Cataract, congenital, Volkmann type		7792		Cataract 8, multiple types, 115665 (2), Autosomal dominant	AD
chr1	1	27600000	619343	DEL1p36, C1DELp36	Chromosome 1p36 deletion syndrome, proximal		NA		Chromosome 1p36 deletion syndrome, proximal, 619343 (4), Autosomal dominant	AD
chr1	1	46300000	608995	DYX8	Dyslexia, susceptibility to, 8		406874		{Dyslexia, susceptibility to, 8}, 608995 (2), Multifactorial, Autosomal dominant	AD
chr1	1	27600000	610320	MYP14	Myopia 14		100359407		Myopia 14, 610320 (2), Autosomal dominant	AD
chr1	1013497	1014540	147571	ISG15, G1P2, IFI15, IMD38	ISG15 ubiquitin-like modifier	ISG15	9636	ENSG00000187608	Immunodeficiency 38, 616126 (3), Autosomal recessive	AR
chr1	1020120	1056116	103320	AGRN, CMS8	Agrin	AGRN	375790	ENSG00000188157	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive	AR
chr1	1211340	1214153	600315	TNFRSF4, TXGP1L, OX40, ACT35, IMD16	Tumor necrosis factor receptor superfamily, member 4	TNFRSF4	7293	ENSG00000186827	?Immunodeficiency 16, 615593 (3), Autosomal recessive	AR
chr1	1232237	1235041	615291	B3GALT6, SEMDJL1, EDSSPD2, ALGAZ	UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6	B3GALT6	126792	ENSG00000176022	Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessive	AR
chr1	1311600	1324660	611354	INTS11, PSF3L, RC68, NEDMLOB	Integrator complex subunit 11	INTS11	54973	ENSG00000127054	Neurodevelopmental disorder with motor and language delay, ocular defects, and brain abnormalities, 620428 (3), Autosomal recessive	AR
chr1	1335278	1349418	601365	DVL1, DRS2	Dishevelled segment polarity protein 1	DVL1	1855	ENSG00000107404	Robinow syndrome, autosomal dominant 2, 616331 (3), Autosomal dominant	AD
chr1	1435690	1442882	611901	VWA1, WARP, HMNR7	von Willebrand factor A domain-containing protein 1	VWA1	64856	ENSG00000179403	Neuronopathy, distal hereditary motor, autosomal recessive 7, 619216 (3), Autosomal recessive	AR
chr1	1512162	1534685	612316	ATAD3A, HAYOS, PHRINL	ATPase family, AAA domain-containing, member 3A	ATAD3A	55210	ENSG00000197785	Harel-Yoon syndrome, 617183 (3), Autosomal recessive, Autosomal dominant	AD/AR
chr1	1534778	1540624	616101	TMEM240, C1orf70, SCA21	Transmembrane protein 240	TMEM240	339453	ENSG00000205090	Spinocerebellar ataxia 21, 607454 (3), Autosomal dominant	AD
chr1	1921957	2003786	620187	CFAP74, KIAA1751, C1orf222, CILD49	Cilia- and flagella-associated protein 74	CFAP74	85452	ENSG00000142609	Ciliary dyskinesia, primary, 49, without situs inversus, 620197 (3), Autosomal recessive	AR
chr1	2019345	2030758	137163	GABRD, GEFSP5, EIG10, EJM7	Gamma-aminobutyric acid (GABA) A receptor, delta	GABRD	2563	ENSG00000187730	{Epilepsy, idiopathic generalized, 10}, 613060 (3), Autosomal dominant	AD
chr1	2228319	2310213	164780	SKI, SGS	SKI protooncogene	SKI	6497	ENSG00000157933	Shprintzen-Goldberg syndrome, 182212 (3), Autosomal dominant	AD
chr1	2300001	20100000	607671	DYT13	Dystonia 13, torsion		93983		Dystonia 13, torsion, 607671 (2), Autosomal dominant	AD
chr1	2300001	29900000	606242	KONDS	Kondoh syndrome		100653373		Kondoh syndrome, 606242 (2), Autosomal recessive	AR
chr1	2403974	2413827	602859	PEX10, NALD, PBD6A, PBD6B	Peroxisome biogenesis factor 10	PEX10	5192	ENSG00000157911	Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3), Autosomal recessive	AR
chr1	2508537	2526596	606162	PANK4, CTRCT49	Pantothenate kinase 4	PANK4	55229	ENSG00000157881	?Cataract 49, 619593 (3), Autosomal dominant	AD
chr1	3069203	3438621	605557	PRDM16, MEL1, LVNC8, CMD1LL	PR domain-containing protein 16	PRDM16	63976	ENSG00000142611	Left ventricular noncompaction 8, 615373 (3), Autosomal dominant	AD
chr1	3652516	3736201	601990	TP73, CILD47	p53-related protein	TP73	7161	ENSG00000078900	Ciliary dyskinesia, primary, 47, and lissencephaly, 619466 (3), Autosomal recessive	AR
chr1	3772749	3775956	615242	SMIM1, VEL	Small integral membrane protein 1	SMIM1	388588	ENSG00000235169	[Blood group, Vel system], 615264 (3), Autosomal recessive	AR
chr1	3812086	3857211	616690	CEP104, GLYBP, KIAA0562, JBTS25, MRT77	Centrosomal protein, 104kD	CEP104	9731	ENSG00000116198	Joubert syndrome 25, 616781 (3), Autosomal recessive	AR
chr1	5300001	20100000	614414	DFNB96	Deafness, autosomal recessive 96		100861440		Deafness, autosomal recessive 96, 614414 (2), Autosomal recessive	AR
chr1	5862811	5992425	607215	NPHP4, SLSN4	Nephrocystin 4	NPHP4	261734	ENSG00000131697	Senior-Loken syndrome 4, 606996 (3), Autosomal recessive	AR
chr1	6101787	6180321	610771	CHD5, PMNDS	Chromodomain helicase DNA-binding protein 5	CHD5	26038	ENSG00000116254	Parenti-Mignot neurodevelopmental syndrome, 619873 (3), Autosomal dominant	AD
chr1	6424776	6461370	606351	ESPN, USH1M	Espin	ESPN	83715	ENSG00000187017	Deafness, neurosensory, without vestibular involvement, autosomal dominant, 609006 (3), Autosomal recessive	AR
chr1	6467122	6520092	611101	PLEKHG5, KIAA0720, HMNR4, CMTRIC	Pleckstrin homology domain- and RhoGEF domain-containing protein G5	PLEKHG5	57449	ENSG00000171680	Neuronopathy, distal hereditary motor, autosomal recessive 4, 611067 (3), Autosomal recessive	AR
chr1	6785454	7769706	611501	CAMTA1, KIAA0833, CECBA	Calmodulin-binding transcription activator 1	CAMTA1	23261	ENSG00000171735	Cerebellar dysfunction with variable cognitive and behavioral abnormalities, 614756 (3), Autosomal dominant	AD
chr1	7100001	27600000	600975	GLC3B	Glaucoma 3, primary infantile, B		2728		Glaucoma 3, primary infantile, B, 600975 (2), Autosomal recessive	AR
chr1	7100001	15900000	608543	SCZD12	Schizophrenia 12		619488		{Schizophrenia 12}, 181500 (2), Autosomal dominant	AD
chr1	7784291	7845177	603427	PER3, FASPS3	Period circadian regulator 3	PER3	8863	ENSG00000049246	?Advanced sleep phase syndrome, familial, 3, 616882 (3), Autosomal dominant	AD
chr1	7915871	7940839	602250	TNFRSF9, ILA, CD137, IMD109	Tumor necrosis factor receptor superfamily, member 9 (interleukin-activated receptor; Ly63, mouse, homolog of)	TNFRSF9	3604	ENSG00000049249	Immunodeficiency 109 with lymphoproliferation, 620282 (3), Autosomal recessive	AR
chr1	7961711	7985505	602533	DJ1, PARK7	Oncogene DJ-1	PARK7	11315	ENSG00000116288	Parkinson disease 7, autosomal recessive early-onset, 606324 (3), Autosomal recessive	AR
chr1	8318114	8344165	605763	SLC45A1, DNB5, IDDNPF	Solute carrier family 45, member 1	SLC45A1	50651	ENSG00000162426	Intellectual developmental disorder with neuropsychiatric features, 617532 (3), Autosomal recessive	AR
chr1	8352404	8817640	605226	RERE, NEDBEH	Arginine-glutamic acid dipeptide repeats	RERE	473	ENSG00000142599	Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975 (3), Autosomal dominant	AD
chr1	9234774	9271337	138090	H6PD, GDH, G6PDH, CORTRD1	Hexose-6-phosphate dehydrogenase	H6PD	9563	ENSG00000049239	Cortisone reductase deficiency 1, 604931 (3), Autosomal recessive	AR
chr1	9627258	9729114	602839	PIK3CD, APDS, IMD14A, IMD14B, ROCHIS	Phosphatidylinositol 3-kinase, catalytic, 110kD, delta	PIK3CD	5293	ENSG00000171608	Immunodeficiency 14A, autosomal dominant, 615513 (3), Autosomal dominant	AD
chr1	9942923	9996892	608700	NMNAT1, NMNAT, PNAT1, LCA9, SHILCA	Nicotinamide nucleotide adenylyltransferase 1	NMNAT1	64802	ENSG00000173614	Spondyloepiphyseal dysplasia, sensorineural hearing loss, intellectual developmental disorder, and Leber congenital amaurosis, 619260 (3), Autosomal recessive	AR
chr1	10210570	10381603	605995	KIF1B, CMT2A, CMT2A1, NBLST1	Kinesin family member 1B	KIF1B	23095	ENSG00000054523	{Neuroblastoma, susceptibility to, 1}, 256700 (3), Somatic mutation, Autosomal dominant	AD
chr1	10474950	10630758	601791	PEX14, PBD13A	Peroxisome biogenesis factor 14	PEX14	5195	ENSG00000142655	Peroxisome biogenesis disorder 13A (Zellweger), 614887 (3), Autosomal recessive	AR
chr1	11012654	11030528	605078	TARDBP, TDP43, ALS10	TAR DNA-binding protein	TARDBP	23435	ENSG00000120948	Frontotemporal lobar degeneration, TARDBP-related, 612069 (3), Autosomal dominant	AD
chr1	11026523	11047239	605102	MASP2	Mannan-binding lectin serine protease 2	MASP2	10747	ENSG00000009724	MASP2 deficiency, 613791 (3), Autosomal recessive	AR
chr1	11273198	11299574	611632	UBIAD1, TERE1, SCCD	UbiA prenyltransferase domain-containing protein 1	UBIAD1	29914	ENSG00000120942	Corneal dystrophy, Schnyder type, 121800 (3), Autosomal dominant	AD
chr1	11674480	11691830	604094	MAD2L2, MAD2B, FANCV	Mitotic arrest-deficient 2 like 2	MAD2L2	10459	ENSG00000116670	?Fanconi anemia, complementation group V, 617243 (3), Autosomal recessive	AR
chr1	11806191	11843130	602726	CLCN6, CONRIBA	Chloride channel 6	CLCN6	1185	ENSG00000011021	Neurodegeneration, childhood-onset, hypotonia, respiratory insufficiency and brain imaging abnormalities, 619173 (3), Autosomal dominant	AD
chr1	11845709	11847783	108780	NPPA, PND, ANP, ATFB6, ATRST2	Natriuretic peptide precursor A	NPPA	4878	ENSG00000175206	Atrial standstill 2, 615745 (3), Autosomal recessive	AR
chr1	11934717	11975537	153454	PLOD1, LH1, LLH, EDSKCL1	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase)	PLOD1	5351	ENSG00000083444	Ehlers-Danlos syndrome, kyphoscoliotic type, 1, 225400 (3), Autosomal recessive	AR
chr1	11980444	12013508	608507	MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B, MSL	Mitofusin 2	MFN2	9927	ENSG00000116688	Lipomatosis, multiple symmetric, with or without peripheral neuropathy, 151800 (3), Autosomal recessive	AR
chr1	12230030	12512047	608877	VPS13D, SCAR4	Vacuolar protein sorting 13 homolog D	VPS13D	55187	ENSG00000048707	Spinocerebellar ataxia, autosomal recessive 4, 607317 (3), Autosomal recessive	AR
chr1	15438443	15449242	601405	CTRC, CLCR	Chymotrypsin	CTRC	11330	ENSG00000162438	{Pancreatitis, chronic, susceptibility to}, 167800 (3), Autosomal dominant	AD
chr1	15456732	15472091	609443	CELA2A, ELA2A, AOMS4	Chymotrypsin-like elastase family, member 2A	CELA2A	63036	ENSG00000142615	Abdominal obesity-metabolic syndrome 4, 618620 (3), Autosomal dominant	AD
chr1	15847707	15940456	613484	SPEN, MINT, SHARP, HIAA0929, RATARS	Spen family transcriptional repressor	SPEN	23013	ENSG00000065526	Radio-Tartaglia syndrome, 619312 (3), Autosomal dominant	AD
chr1	15900001	39600000	609122	ANIB3	Aneurysm, intracranial berry, 3		497657		Aneurysm, intracranial berry, 3, 609122 (2), Autosomal dominant	AD
chr1	15900001	39600000	616055	EA8	Episodic ataxia, type 8		104326187		Episodic ataxia, type 8, 616055 (2), Autosomal dominant	AD
chr1	16022036	16034050	602024	CLCNKA	Chloride channel, kidney, A	CLCNKA	1187	ENSG00000186510	Bartter syndrome, type 4b, digenic, 613090 (3), Digenic recessive	digenic
chr1	16043782	16057326	602023	CLCNKB	Chloride channel, kidney, B	CLCNKB	1188	ENSG00000184908	Bartter syndrome, type 3, 607364 (3), Autosomal recessive	AR
chr1	16124337	16156069	176946	EPHA2, ECK, CTPP1, CTPA, ARCC2, CTRCT6	Ephrin receptor EphA2	EPHA2	1969	ENSG00000142627	Cataract 6, multiple types, 116600 (3), Autosomal dominant	AD
chr1	16985958	17011928	610513	ATP13A2, PARK9, KRPPD, SPG78	ATPase 13A2	ATP13A2	23400	ENSG00000159363	Spastic paraplegia 78, autosomal recessive, 617225 (3), Autosomal recessive	AR
chr1	17018722	17054032	185470	SDHB, SDH2, SDHIP, PPGL4, MC2DN4	Succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	SDHB	6390	ENSG00000117118	Pheochromocytoma/paraganglioma syndrome 4, 115310 (3), Autosomal dominant	AD
chr1	17249098	17284233	606755	PADI3, UHS1	Peptidylarginine deiminase, type III	PADI3	51702	ENSG00000142619	Uncombable hair syndrome, 191480 (3), Autosomal recessive	AR
chr1	17372196	17401699	610363	PADI6, OZEMA16	Peptidylarginine deiminase, type VI	PADI6	353238	ENSG00000276747	Oocyte/zygote/embryo maturation arrest 16, 617234 (3), Autosomal recessive	AR
chr1	18630846	18748866	167410	PAX7, RMS2, CMYP19	Paired box gene 7	PAX7	5081	ENSG00000009709	Congenital myopathy 19, 618578 (3), Autosomal recessive	AR
chr1	18871430	18902555	606811	ALDH4A1, ALDH4, P5CDH	Aldehyde dehydrogenase 4 family, member A1 (delta-1-pyrroline 5-carboxylate dehydrogenase)	ALDH4A1	8659	ENSG00000159423	Hyperprolinemia, type II, 239510 (3), Autosomal recessive	AR
chr1	19215660	19251524	616846	EMC1, KIAA0090, CAVIPMR	Endoplasmic reticulum membrane protein complex, subunit 1	EMC1	23065	ENSG00000127463	Cerebellar atrophy, visual impairment, and psychomotor retardation, 616875 (3), Autosomal recessive	AR
chr1	19975431	19980434	172411	PLA2G2A, PLA2B, PLA2L, MOM1	Phospholipase A2, group IIA, platelets, synovial fluid	PLA2G2A	5320	ENSG00000188257	{?Colorectal cancer, susceptibility to}, 114500 (3), Somatic mutation, Autosomal dominant	AD
chr1	20028408	20091911	601192	PLA2G5, FRFB	Phospholipase A2, group V	PLA2G5	5322	ENSG00000127472	[Fleck retina, familial benign], 228980 (3), Autosomal recessive	AR
chr1	20633458	20651511	608309	PINK1, PARK6	PTEN-induced putative kinase 1	PINK1	65018	ENSG00000158828	Parkinson disease 6, early onset, 605909 (3), Autosomal recessive	AR
chr1	20651777	20661369	602202	DDOST, OST, OST48, CDG1R	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase	DDOST	1650	ENSG00000244038	Congenital disorder of glycosylation, type Ir, 614507 (3), Autosomal recessive	AR
chr1	21508984	21578410	171760	ALPL, HOPS, TNSALP, HPPA, HPPO, HPPI, HPPC	Alkaline phosphatase, liver/bone/kidney	ALPL	249	ENSG00000162551	Odontohypophosphatasia, 146300 (3), Autosomal recessive, Autosomal dominant	AD/AR
chr1	21678298	21783149	617445	USP48, USP31, DFNA85	Ubiquitin-specific peptidase 48	USP48	84196	ENSG00000090686	Deafness, autosomal dominant 85, 620227 (3), Autosomal dominant	AD
chr1	21822244	21937310	142461	HSPG2, PLC, SJS, SJA, SJS1	Heparan sulfate proteoglycan of basement membrane (perlecan)	HSPG2	3339	ENSG00000142798	Dyssegmental dysplasia, Silverman-Handmaker type, 224410 (3), Autosomal recessive	AR
chr1	22052709	22101360	116952	CDC42, TKS	Cell division cycle 42 (GTP-binding protein, 25kD)	CDC42	998	ENSG00000070831	Takenouchi-Kosaki syndrome, 616737 (3), Autosomal dominant	AD
chr1	22117313	22143097	603490	WNT4, SERKAL	Wingless-type MMTV integration site family, member 4	WNT4	54361	ENSG00000162552	?SERKAL syndrome, 611812 (3), Autosomal recessive	AR
chr1	22636463	22639678	120550	C1QA, C1QD1	Complement component 1, q subcomponent, A chain	C1QA	712	ENSG00000173372	C1q deficiency 1, 613652 (3), Autosomal recessive	AR
chr1	22643633	22648108	120575	C1QC, C1QG, C1QD3	Complement component 1, q subcomponent, C chain	C1QC	714	ENSG00000159189	C1q deficiency 3, 620322 (3), Autosomal recessive	AR
chr1	22653236	22661637	120570	C1QB, C1QD2	Complement component 1, q subcomponent, B chain	C1QB	713	ENSG00000173369	C1q deficiency 2, 620321 (3), Autosomal recessive	AR
chr1	22710838	22921500	600997	EPHB2, EPHT3, DRT, ERK, PCBC, CAPB, BDPLT22	eph tyrosine kinase 3 (ephrin receptor EphB2)	EPHB2	2048	ENSG00000133216	?Bleeding disorder, platelet-type, 22, 618462 (3), Autosomal recessive	AR
chr1	23019468	23083689	609132	KDM1A, LSD1, AOF2, BHC110, KIAA0601, CPRF	Lysine demethylase 1A	KDM1A	23028	ENSG00000004487	Cleft palate, psychomotor retardation, and distinctive facial features, 616728 (3), Autosomal dominant	AD
chr1	23304688	23344284	607201	HNRPR, HNRNPR, NEDDFSB	Heterogeneous nuclear ribonucleoprotein R	HNRNPR	10236	ENSG00000125944	Neurodevelopmental disorder with dysmorphic facies and skeletal and brain abnormalities, 620073 (3), Autosomal dominant	AD
chr1	23691779	23696835	604175	RPL11, DBA7	Ribosomal protein L11	RPL11	6135	ENSG00000142676	Diamond-Blackfan anemia 7, 612562 (3), Autosomal dominant	AD
chr1	23795599	23800754	606953	GALE	UDP galactose-4-epimerase	GALE	2582	ENSG00000117308	Galactose epimerase deficiency, 230350 (3), Autosomal recessive	AR
chr1	23801885	23825429	613898	HMGCL	3-hydroxy-3-methylglutaryl-Coenzyme A lyase	HMGCL	3155	ENSG00000117305	HMG-CoA lyase deficiency, 246450 (3), Autosomal recessive	AR
chr1	23845077	23868290	612280	FUCA1	Fucosidase, alpha-L- 1, tissue	FUCA1	2517	ENSG00000179163	Fucosidosis, 230000 (3), Autosomal recessive	AR
chr1	24319357	24364482	608317	GRHL3, SOM, TFCP2L4, VWS2	Grainyhead-like 3	GRHL3	57822	ENSG00000158055	van der Woude syndrome 2, 606713 (3), Autosomal dominant	AD
chr1	25362249	25430203	111700	RHCE, RHNA	Rhesus system C and E polypeptides	RHCE	6006	ENSG00000188672	Rh-null disease, amorph type, 617970 (3), Autosomal recessive	AR
chr1	25543606	25590400	605747	LDLRAP1, ARH, FHCB2, FHCB1, FHCL4	Low density lipoprotein receptor adaptor protein 1	LDLRAP1	26119	ENSG00000157978	Hypercholesterolemia, familial, 4, 603813 (3), Autosomal recessive	AR
chr1	25800193	25818221	606210	SELENON, SEPN1, SELN, CMYP3	Selenoprotein N	SELENON	57190	ENSG00000162430	Congenital myopathy 3 with rigid spine, 602771 (3), Autosomal recessive	AR
chr1	26037252	26046118	609617	SLC30A2, ZNT2, TNZD	Solute carrier family 30 (zinc transporter), member 2	SLC30A2	7780	ENSG00000158014	Zinc deficiency, transient neonatal, 608118 (3), Autosomal dominant	AD
chr1	26432321	26471306	608172	DHDDS, HDS, RP59, DEDSM	Dehydrodolichyl diphosphate synthase	DHDDS	79947	ENSG00000117682	Developmental delay and seizures with or without movement abnormalities, 617836 (3), Autosomal dominant	AD
chr1	26696015	26782104	603024	ARID1A, C1orf4, B120, SMARCF1, MRD14, CSS2	AT rich interactive domain 1A, SWI-like	ARID1A	8289	ENSG00000117713	Coffin-Siris syndrome 2, 614607 (3), Autosomal dominant	AD
chr1	26787054	26800659	610274	PIGV, HPMRS1	Phosphatidylinositol glycan, class V	PIGV	55650	ENSG00000060642	Hyperphosphatasia with impaired intellectual development syndrome 1, 239300 (3), Autosomal recessive	AR
chr1	26911489	26913975	604630	NR0B2, SHP	Nuclear receptor subfamily 0, group B, member 2	NR0B2	8431	ENSG00000131910	Obesity, mild, early-onset, 601665 (3), Autosomal recessive, Multifactorial, Autosomal dominant	AD/AR
chr1	26949562	26960468	616758	KDF1, C1orf172, ECTD12	Keratinocyte differentiation factor 1	KDF1	126695	ENSG00000175707	?Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type, 617337 (3), Autosomal dominant	AD
chr1	27098809	27155125	107310	SLC9A1, NHE1, APNH, LIKNS	Solute carrier family 9 (sodium/hydrogen exchanger), member 1 (antiporter, Na+/H+, amiloride sensitive)	SLC9A1	6548	ENSG00000090020	Lichtenstein-Knorr syndrome, 616291 (3), Autosomal recessive	AR
chr1	27322163	27336400	619469	TMEM222, C1orf160, NEDMOSBA	Transmembrane protein 222	TMEM222	84065	ENSG00000186501	Neurodevelopmental disorder with motor and speech delay and behavioral abnormalities, 619470 (3), Autosomal recessive	AR
chr1	27369110	27374824	604973	FCN3, HAKA1	Ficolin 3	FCN3	8547	ENSG00000142748	Immunodeficiency due to ficolin 3 deficiency, 613860 (3), Autosomal recessive	AR
chr1	27534245	27604227	615790	AHDC1, XIGIS, MRD25	AT-hook DNA-binding motif-containing protein 1	AHDC1	27245	ENSG00000126705	Xia-Gibbs syndrome, 615829 (3), Autosomal dominant	AD
chr1	27600001	34300000	617930	C1DELp35, DEL1p35	Chromosome 1p35 deletion syndrome		NA		Chromosome 1p35 deletion syndrome, 617930 (4), Autosomal dominant	AD
